Array: 
41 18467 6334 26500 19169 15724 11478 29358 26962 24464 5705 28145 23281 16827 9961 491 2995 11942 4827 5436 32391 14604 3902 153 292 12382 17421 18716 19718 19895 5447 21726 14771 11538 1869 19912 25667 26299 17035 9894 28703 23811 31322 30333 17673 4664 15141 7711 28253 6868 25547 27644 32662 32757 20037 12859 8723 9741 27529 778 12316 3035 22190 1842 288 30106 9040 8942 19264 22648 27446 23805 15890 6729 24370 15350 15006 31101 24393 3548 19629 12623 24084 19954 18756 11840 4966 7376 13931 26308 16944 32439 24626 11323 5537 21538 16118 2082 22929 16541 4833 31115 4639 29658 22704 9930 13977 2306 31673 22386 5021 28745 26924 19072 6270 5829 26777 15573 5097 16512 23986 13290 9161 18636 22355 24767 23655 15574 4031 12052 27350 1150 16941 21724 13966 3430 31107 30191 18007 11337 15457 12287 27753 10383 14945 8909 32209 9758 24221 18588 6422 24946 27506 13030 16413 29168 900 32591 18762 1655 17410 6359 27624 20537 21548 6483 27595 4041 3602 24350 10291 30836 9374 11020 4596 24021 27348 23199 19668 24484 8281 4734 53 1999 26418 27938 6900 3788 18127 467 3728 14893 24648 22483 17807 2421 14310 6617 22813 9514 14309 7616 18935 17451 20600 5249 16519 31556 22798 30303 6224 11008 5844 32609 14989 32702 3195 20485 3093 14343 30523 1587 29314 9503 7448 25200 13458 6618 20580 19796 14798 15281 19589 20798 28009 27157 20472 23622 18538 12292 6038 24179 18190 29657 7958 6191 19815 22888 19156 11511 16202 2634 24272 20055 20328 22646 26362 4886 18875 28433 29869 20142 23844 1416 21881 31998 10322 18651 10021 5699 3557 28476 27892 24389 5075 10712 2600 2510 21003 26869 17861 14688 13401 9789 15255 16423 5002 10585 24182 10285 27088 31426 28617 23757 9832 30932 4169 2154 25721 17189 19976 31329 2368 28692 21425 10555 3434 16549 7441 9512 30145 18060 21718 3753 16139 12423 16279 25996 16687 12529 22549 17437 19866 12949 193 23195 3297 20416 28286 16105 24488 16282 12455 25734 18114 11701 31316 20671 5786 12263 4313 24355 31185 20053 912 10808 1832 20945 4313 27756 28321 19558 23646 27982 481 4144 23196 20222 7129 2161 5535 20450 11173 10466 12044 21659 26292 26439 17253 20024 26154 29510 4745 20649 13186 8313 4474 28022 2168 14018 18787 9905 17958 7391 10202 3625 26477 4414 9314 25824 29334 25874 24372 20159 11833 28070 7487 28297 7518 8177 17773 32270 1763 2668 17192 13985 3102 8480 29213 7627 4802 4099 30527 2625 1543 1924 11023 29972 13061 14181 31003 27432 17505 27593 22725 13031 8492 142 17222 31286 13064 7900 19187 8360 22413 30974 14270 29170 235 30833 19711 25760 18896 4667 7285 12550 140 13694 2695 21624 28019 2125 26576 21694 22658 26302 17371 22466 4678 22593 23851 25484 1018 28464 21119 23152 2800 18087 31060 1926 9010 4757 32170 20315 9576 30227 12043 22758 7164 5109 7882 17086 29565 3487 29577 14474 2625 25627 5629 31928 25423 28520 6902 14962 123 24596 3737 13261 10195 32525 1264 8260 6202 8116 5030 20326 29011 30771 6411 25547 21153 21520 29790 14924 30188 21763 4940 20851 18662 13829 30900 17713 18958 17578 8365 13007 11477 1200 26058 6439 2303 12760 19357 2324 6477 5108 21113 14887 19801 22850 14460 22428 12993 27384 19405 6540 31111 28704 12835 32356 6072 29350 18823 14485 20556 23216 1626 9357 8526 13357 29337 23271 23869 29361 12896 13022 29617 10112 12717 18696 11585 24041 24423 24129 24229 4565 6559 8932 22296 29855 12053 16962 3584 29734 6654 16972 21457 14369 22532 2963 2607 2483 911 11635 10067 22848 4675 12938 2223 22142 23754 6511 22741 20175 21459 17825 3221 17870 1626 31934 15205 31783 23850 17398 22279 22701 12193 12734 1637 26534 5556 1993 10176 25705 6962 10548 15881 300 14413 16641 19855 24855 13142 11462 27611 30877 20424 32678 1752 18443 28296 12673 10040 9313 875 20072 12818 610 1017 14932 28112 30695 13169 23831 20040 26488 28685 19090 19497 2589 25990 15145 19353 19314 18651 26740 22044 11258 335 8759 11192 7605 25264 12181 28503 3829 23775 20608 29292 5997 17549 29556 25561 31627 6467 29541 26129 31240 27813 29174 20601 6077 20215 8683 8213 23992 25824 5601 23392 15759 2670 26428 28027 4084 10075 18786 15498 24970 6287 23847 32604 503 21221 22663 5706 2363 9010 22171 27489 18240 12164 25542 7619 20913 7591 6704 31818 9232 750 25205 4975 1539 303 11422 21098 11247 13584 13648 2971 17864 22913 11075 21545 28712 17546 18678 1769 15262 8519 13985 28289 15944 2865 18540 23245 25508 28318 27870 9601 28323 21132 24472 27152 25087 28570 29763 29901 17103 14423 3527 11600 26969 14015 5565 28 21543 25347 2088 2943 12637 22409 26463 5049 4681 1588 11342 608 32060 21221 1758 29954 20888 14146 690 7949 12843 21430 25620 748 27067 4536 20783 18035 32226 15185 7038 9853 25629 11224 15748 19923 3359 32257 24766 4944 14955 23318 32726 25411 21025 20355 31001 22549 9496 18584 9515 17964 23342 8075 17913 16142 31196 21948 25072 20426 14606 26173 24429 32404 6705 20626 29812 19375 30093 16565 16036 14736 29141 30814 5994 8256 6652 23936 30838 20482 1355 21015 1131 18230 17841 14625 2011 32637 4186 19690 1650 5662 21634 10893 10353 21416 13452 14008 7262 22233 5454 16303 16634 26303 14256 148 11124 12317 4213 27109 24028 29200 21080 21318 16858 24050 24155 31361 15264 11903 3676 29643 26909 14902 3561 28489 24948 1282 13653 30674 2220 5402 6923 3831 19369 3878 20259 19008 22619 23971 30003 21945 9781 26504 12392 32685 25313 6698 5589 12722 5938 19037 6410 31461 6234 12508 9961 3959 6493 1515 25269 24937 28869 58 14700 13971 26264 15117 16215 24555 7815 18330 3039 30212 29288 28082 1954 16085 20710 24484 24774 8380 29815 25951 6541 18115 1679 17110 25898 23073 788 23977 18132 29956 28689 26113 10008 12941 15790 1723 21363 28 25184 24778 7200 5071 1885 21974 1071 11333 22867 26153 14295 32168 20825 9676 15629 28650 2598 3309 4693 4686 30080 10116 12249 
Result: 
m[] bbl[] shl[] mrg[]
18538 7441 7441 7441 
12292 7448 7448 7448 
6038 7487 7487 7487 
24179 7518 7518 7518 
18190 7591 7591 7591 
29657 7605 7605 7605 
7958 7616 7616 7616 
6191 7619 7619 7619 
19815 7627 7627 7627 
22888 7711 7711 7711 
19156 7815 7815 7815 
11511 7882 7882 7882 
16202 7900 7900 7900 
2634 7949 7949 7949 
24272 7958 7958 7958 
20055 8075 8075 8075 
20328 8116 8116 8116 
22646 8177 8177 8177 
26362 8213 8213 8213 
4886 8256 8256 8256 
18875 8260 8260 8260 
28433 8281 8281 8281 
29869 8313 8313 8313 
20142 8360 8360 8360 
23844 8365 8365 8365 
1416 8380 8380 8380 
21881 8480 8480 8480 
31998 8492 8492 8492 
10322 8519 8519 8519 
18651 8526 8526 8526 
10021 8683 8683 8683 
5699 8723 8723 8723 
3557 8759 8759 8759 
28476 8909 8909 8909 
27892 8932 8932 8932 
24389 8942 8942 8942 
5075 9010 9010 9010 
10712 9010 9010 9010 
2600 9040 9040 9040 
2510 9161 9161 9161 
21003 9232 9232 9232 
26869 9313 9313 9313 
17861 9314 9314 9314 
14688 9357 9357 9357 
13401 9374 9374 9374 
9789 9496 9496 9496 
15255 9503 9503 9503 
16423 9512 9512 9512 
5002 9514 9514 9514 
10585 9515 9515 9515 
24182 9576 9576 9576 
10285 9601 9601 9601 
27088 9676 9676 9676 
31426 9741 9741 9741 
28617 9758 9758 9758 
23757 9781 9781 9781 
9832 9789 9789 9789 
30932 9832 9832 9832 
4169 9853 9853 9853 
2154 9894 9894 9894 
25721 9905 9905 9905 
17189 9930 9930 9930 
19976 9961 9961 9961 
31329 9961 9961 9961 
2368 10008 10008 10008 
28692 10021 10021 10021 
21425 10040 10040 10040 
10555 10067 10067 10067 
3434 10075 10075 10075 
16549 10112 10112 10112 
7441 10116 10116 10116 
9512 10176 10176 10176 
30145 10195 10195 10195 
18060 10202 10202 10202 
21718 10285 10285 10285 
3753 10291 10291 10291 
16139 10322 10322 10322 
12423 10353 10353 10353 
16279 10383 10383 10383 
25996 10466 10466 10466 
16687 10548 10548 10548 
12529 10555 10555 10555 
22549 10585 10585 10585 
17437 10712 10712 10712 
19866 10808 10808 10808 
12949 10893 10893 10893 
193 11008 11008 11008 
23195 11020 11020 11020 
3297 11023 11023 11023 
20416 11075 11075 11075 
28286 11124 11124 11124 
16105 11173 11173 11173 
24488 11192 11192 11192 
16282 11224 11224 11224 
12455 11247 11247 11247 
25734 11258 11258 11258 
18114 11323 11323 11323 
11701 11333 11333 11333 
31316 11337 11337 11337 
20671 11342 11342 11342 
5786 11422 11422 11422 
12263 11462 11462 11462 
4313 11477 11477 11477 
24355 11478 11478 11478 
31185 11511 11511 11511 
20053 11538 11538 11538 
912 11585 11585 11585 
10808 11600 11600 11600 
1832 11635 11635 11635 
20945 11701 11701 11701 
4313 11833 11833 11833 
27756 11840 11840 11840 
28321 11903 11903 11903 
19558 11942 11942 11942 
23646 12043 12043 12043 
27982 12044 12044 12044 
481 12052 12052 12052 
4144 12053 12053 12053 
23196 12164 12164 12164 
20222 12181 12181 12181 
7129 12193 12193 12193 
2161 12249 12249 12249 
5535 12263 12263 12263 
20450 12287 12287 12287 
11173 12292 12292 12292 
10466 12316 12316 12316 
12044 12317 12317 12317 
21659 12382 12382 12382 
26292 12392 12392 12392 
26439 12423 12423 12423 
17253 12455 12455 12455 
20024 12508 12508 12508 
26154 12529 12529 12529 
29510 12550 12550 12550 
4745 12623 12623 12623 
20649 12637 12637 12637 
13186 12673 12673 12673 
8313 12717 12717 12717 
4474 12722 12722 12722 
28022 12734 12734 12734 
2168 12760 12760 12760 
14018 12818 12818 12818 
18787 12835 12835 12835 
9905 12843 12843 12843 
17958 12859 12859 12859 
7391 12896 12896 12896 
10202 12938 12938 12938 
3625 12941 12941 12941 
26477 12949 12949 12949 
4414 12993 12993 12993 
9314 13007 13007 13007 
25824 13022 13022 13022 
29334 13030 13030 13030 
25874 13031 13031 13031 
24372 13061 13061 13061 
20159 13064 13064 13064 
11833 13142 13142 13142 
28070 13169 13169 13169 
7487 13186 13186 13186 
28297 13261 13261 13261 
7518 13290 13290 13290 
8177 13357 13357 13357 
17773 13401 13401 13401 
32270 13452 13452 13452 
1763 13458 13458 13458 
2668 13584 13584 13584 
17192 13648 13648 13648 
13985 13653 13653 13653 
3102 13694 13694 13694 
8480 13829 13829 13829 
29213 13931 13931 13931 
7627 13966 13966 13966 
4802 13971 13971 13971 
4099 13977 13977 13977 
30527 13985 13985 13985 
2625 13985 13985 13985 
1543 14008 14008 14008 
1924 14015 14015 14015 
11023 14018 14018 14018 
29972 14146 14146 14146 
13061 14181 14181 14181 
14181 14256 14256 14256 
31003 14270 14270 14270 
27432 14295 14295 14295 
17505 14309 14309 14309 
27593 14310 14310 14310 
22725 14343 14343 14343 
13031 14369 14369 14369 
8492 14413 14413 14413 
142 14423 14423 14423 
17222 14460 14460 14460 
31286 14474 14474 14474 
13064 14485 14485 14485 
7900 14604 14604 14604 
19187 14606 14606 14606 
8360 14625 14625 14625 
22413 14688 14688 14688 
30974 14700 14700 14700 
14270 14736 14736 14736 
29170 14771 14771 14771 
235 14798 14798 14798 
30833 14887 14887 14887 
19711 14893 14893 14893 
25760 14902 14902 14902 
18896 14924 14924 14924 
4667 14932 14932 14932 
7285 14945 14945 14945 
12550 14955 14955 14955 
140 14962 14962 14962 
13694 14989 14989 14989 
2695 15006 15006 15006 
21624 15117 15117 15117 
28019 15141 15141 15141 
2125 15145 15145 15145 
26576 15185 15185 15185 
21694 15205 15205 15205 
22658 15255 15255 15255 
26302 15262 15262 15262 
17371 15264 15264 15264 
22466 15281 15281 15281 
4678 15350 15350 15350 
22593 15457 15457 15457 
23851 15498 15498 15498 
25484 15573 15573 15573 
1018 15574 15574 15574 
28464 15629 15629 15629 
21119 15724 15724 15724 
23152 15748 15748 15748 
2800 15759 15759 15759 
18087 15790 15790 15790 
31060 15881 15881 15881 
1926 15890 15890 15890 
9010 15944 15944 15944 
4757 16036 16036 16036 
32170 16085 16085 16085 
20315 16105 16105 16105 
9576 16118 16118 16118 
30227 16139 16139 16139 
12043 16142 16142 16142 
22758 16202 16202 16202 
7164 16215 16215 16215 
5109 16279 16279 16279 
7882 16282 16282 16282 
17086 16303 16303 16303 
29565 16413 16413 16413 
3487 16423 16423 16423 
29577 16512 16512 16512 
14474 16519 16519 16519 
2625 16541 16541 16541 
25627 16549 16549 16549 
5629 16565 16565 16565 
31928 16634 16634 16634 
25423 16641 16641 16641 
28520 16687 16687 16687 
6902 16827 16827 16827 
14962 16858 16858 16858 
123 16941 16941 16941 
24596 16944 16944 16944 
3737 16962 16962 16962 
13261 16972 16972 16972 
10195 17035 17035 17035 
32525 17086 17086 17086 
1264 17103 17103 17103 
8260 17110 17110 17110 
6202 17189 17189 17189 
8116 17192 17192 17192 
5030 17222 17222 17222 
20326 17253 17253 17253 
29011 17371 17371 17371 
30771 17398 17398 17398 
6411 17410 17410 17410 
25547 17421 17421 17421 
21153 17437 17437 17437 
21520 17451 17451 17451 
29790 17505 17505 17505 
14924 17546 17546 17546 
30188 17549 17549 17549 
21763 17578 17578 17578 
4940 17673 17673 17673 
20851 17713 17713 17713 
18662 17773 17773 17773 
13829 17807 17807 17807 
30900 17825 17825 17825 
17713 17841 17841 17841 
18958 17861 17861 17861 
17578 17864 17864 17864 
8365 17870 17870 17870 
13007 17913 17913 17913 
11477 17958 17958 17958 
1200 17964 17964 17964 
26058 18007 18007 18007 
6439 18035 18035 18035 
2303 18060 18060 18060 
12760 18087 18087 18087 
19357 18114 18114 18114 
2324 18115 18115 18115 
6477 18127 18127 18127 
5108 18132 18132 18132 
21113 18190 18190 18190 
14887 18230 18230 18230 
19801 18240 18240 18240 
22850 18330 18330 18330 
14460 18443 18443 18443 
22428 18467 18467 18467 
12993 18538 18538 18538 
27384 18540 18540 18540 
19405 18584 18584 18584 
6540 18588 18588 18588 
31111 18636 18636 18636 
28704 18651 18651 18651 
12835 18651 18651 18651 
32356 18662 18662 18662 
6072 18678 18678 18678 
29350 18696 18696 18696 
18823 18716 18716 18716 
14485 18756 18756 18756 
20556 18762 18762 18762 
23216 18786 18786 18786 
1626 18787 18787 18787 
9357 18823 18823 18823 
8526 18875 18875 18875 
13357 18896 18896 18896 
29337 18935 18935 18935 
23271 18958 18958 18958 
23869 19008 19008 19008 
29361 19037 19037 19037 
12896 19072 19072 19072 
13022 19090 19090 19090 
29617 19156 19156 19156 
10112 19169 19169 19169 
12717 19187 19187 19187 
18696 19264 19264 19264 
11585 19314 19314 19314 
24041 19353 19353 19353 
24423 19357 19357 19357 
24129 19369 19369 19369 
24229 19375 19375 19375 
4565 19405 19405 19405 
6559 19497 19497 19497 
8932 19558 19558 19558 
22296 19589 19589 19589 
29855 19629 19629 19629 
12053 19668 19668 19668 
16962 19690 19690 19690 
3584 19711 19711 19711 
29734 19718 19718 19718 
6654 19796 19796 19796 
16972 19801 19801 19801 
21457 19815 19815 19815 
14369 19855 19855 19855 
22532 19866 19866 19866 
2963 19895 19895 19895 
2607 19912 19912 19912 
2483 19923 19923 19923 
911 19954 19954 19954 
11635 19976 19976 19976 
10067 20024 20024 20024 
22848 20037 20037 20037 
4675 20040 20040 20040 
12938 20053 20053 20053 
2223 20055 20055 20055 
22142 20072 20072 20072 
23754 20142 20142 20142 
6511 20159 20159 20159 
22741 20175 20175 20175 
20175 20215 20215 20215 
21459 20222 20222 20222 
17825 20259 20259 20259 
3221 20315 20315 20315 
17870 20326 20326 20326 
1626 20328 20328 20328 
31934 20355 20355 20355 
15205 20416 20416 20416 
31783 20424 20424 20424 
23850 20426 20426 20426 
17398 20450 20450 20450 
22279 20472 20472 20472 
22701 20482 20482 20482 
12193 20485 20485 20485 
12734 20537 20537 20537 
1637 20556 20556 20556 
26534 20580 20580 20580 
5556 20600 20600 20600 
1993 20601 20601 20601 
10176 20608 20608 20608 
25705 20626 20626 20626 
